Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
9.539337268	dedup	102.0	35.5	5.08	0.203	51433106	311085	8238263	16288555	20284426	160613
10.045469111	dedup	102.0	35.0	5.08	0.203	50915497	309719	8145642	16148595	20105561	157827
10.547461683	dedup	102.0	35.0	5.08	0.203	50864582	308672	8128484	16050695	20038109	157862
11.049426025	dedup	102.0	35.5	5.08	0.203	50929810	307596	8092788	16012229	20003518	157444
11.551613135	dedup	102.0	35.5	5.08	0.203	50270769	297981	8193239	16302529	19990294	155569
12.053613053	dedup	102.0	35.0	5.08	0.243	49890077	292826	7982994	15823284	19442351	151986
12.557066810	dedup	102.0	35.5	5.08	0.162	51652907	303468	8585573	17071978	20715317	158619
13.059126731	dedup	102.0	35.5	5.08	0.162	49896246	304601	8843022	17332542	20757686	153272
13.560970606	dedup	102.0	35.0	5.08	0.162	50606930	307578	8051387	15904616	20115042	158209
14.063008913	dedup	102.0	35.5	5.08	0.162	67226649	405017	8913772	16592268	24165712	214492
14.494922779	dedup	102.0	35.0	5.072	0.162	53297761	280281	7831142	15315485	19506647	319403
0.500969555	dedup	102.0	35.5	5.08	0.203	50425743	275621	11303313	23961453	24887257	131074
1.003322479	dedup	102.0	35.0	5.08	0.203	51774092	346744	7315291	14065916	19368319	164547
1.505920931	dedup	102.0	35.5	5.08	0.203	49698692	337015	7202888	13882374	18861366	158077
2.007626132	dedup	102.0	35.0	5.08	0.203	48728844	324372	7004959	13523019	18355630	156001
2.510158229	dedup	102.0	35.5	5.08	0.243	50073300	331877	7425778	14474952	19203987	159235
3.012118647	dedup	102.0	35.5	5.08	0.203	50893372	326750	7455438	14538067	19193158	156983
3.521083775	dedup	102.0	35.5	5.08	0.203	49734088	326277	7416588	14411939	19104385	154898
4.023052422	dedup	102.0	35.5	5.08	0.203	50385448	321824	7668808	15033364	19512375	156205
4.525048780	dedup	102.0	35.5	5.08	0.203	49643046	317533	7534139	14796221	19196870	154472
5.027081754	dedup	102.0	35.0	5.08	0.203	49923277	319846	7612707	14883390	19326794	155086
5.529088947	dedup	102.0	35.5	5.08	0.203	51001947	318109	7810016	15375025	19777020	159311
6.031213488	dedup	102.0	35.5	5.08	0.203	51019959	320752	7895799	15526789	19846313	159563
6.532815932	dedup	102.0	35.5	5.08	0.203	51538196	322185	7846703	15352113	19882241	160359
7.034670571	dedup	102.0	35.5	5.08	0.203	51175219	315136	7802504	15367790	19760120	159624
7.536927149	dedup	102.0	35.5	5.08	0.203	50200217	314750	7834883	15400611	19638513	156125
8.038829291	dedup	102.0	35.0	5.08	0.203	51340167	316946	8036227	15924019	20103982	158254
8.540780393	dedup	102.0	35.5	5.08	0.203	49703867	305140	7919393	15662102	19619801	153118
9.042865666	dedup	102.0	35.5	5.08	0.203	50021743	307049	7989857	15780649	19765979	153586
9.544884792	dedup	102.0	35.5	5.08	0.203	50877309	312802	7972662	15748404	19903879	158838
10.047037204	dedup	102.0	36.0	5.08	0.203	50347758	303556	8098604	16045876	19962378	153026
10.550434960	dedup	102.0	35.0	5.08	0.203	49362215	305716	7774582	15408094	19418586	153463
11.052086475	dedup	102.0	35.0	5.08	0.203	50786994	304948	8149524	16160591	20046554	154658
11.554374100	dedup	102.0	35.0	5.08	0.203	50474190	305179	8252025	16413497	20133047	156309
12.056057961	dedup	102.0	35.5	5.08	0.243	50991818	303893	8369398	16554389	20410499	157726
12.558135843	dedup	102.0	35.0	5.08	0.203	48948155	289845	8047960	16041423	19518810	147806
13.060043722	dedup	102.0	35.0	5.08	0.162	50543062	305747	8895777	17522209	20917843	154155
13.562676463	dedup	102.0	35.0	5.08	0.162	51888015	311514	8197095	16121347	20590769	158645
14.064595645	dedup	102.0	35.0	5.072	0.162	66462382	401547	8862097	16546875	23951527	210896
14.544143943	dedup	102.0	35.5	5.08	0.162	54152881	289990	7993887	15608588	19920770	327749
0.503071154	freqmine	102.0	34.5	5.08	0.203	51462395	289443	11431606	24204569	25326704	130968
1.007785528	freqmine	102.0	35.0	5.08	0.203	50252921	335344	7056515	13600848	18722167	156041
1.509887491	freqmine	102.0	34.5	5.08	0.203	50735734	341907	7313054	14160039	19188075	157510
2.011852680	freqmine	102.0	35.0	5.08	0.203	50032148	335044	7179522	13836776	18869626	154642
2.514361686	freqmine	102.0	35.0	5.08	0.203	50598138	336591	7571357	14796044	19497309	157142
3.016125361	freqmine	102.0	35.0	5.08	0.203	50021671	327139	7518773	14703847	19288941	151774
3.518845884	freqmine	102.0	34.5	5.08	0.203	50731790	327446	7546273	14726777	19453345	154658
4.021401455	freqmine	102.0	34.5	5.08	0.203	50125499	325978	7555784	14812274	19318420	154502
4.523578371	freqmine	102.0	34.5	5.08	0.203	50887154	322477	7767537	15239456	19715728	155225
5.026036909	freqmine	102.0	35.0	5.08	0.203	50219943	316163	7687231	15070952	19511162	153115
5.527758034	freqmine	102.0	35.0	5.08	0.203	51857646	327539	7894037	15548414	20056112	161124
6.029950160	freqmine	102.0	34.5	5.08	0.203	51018712	320569	7760451	15284386	19717037	157777
6.532106036	freqmine	102.0	34.5	5.08	0.203	51356257	325093	7909457	15601067	19937491	157613
7.035421317	freqmine	102.0	35.0	5.08	0.203	51133110	320490	7819983	15350202	19811678	156095
7.538160073	freqmine	102.0	34.5	5.08	0.203	50995662	315572	7873578	15585234	19850886	155009
8.040166259	freqmine	102.0	35.0	5.08	0.203	50457851	312098	7894556	15566754	19755624	155882
8.542192550	freqmine	102.0	34.5	5.08	0.203	50631748	311891	8075850	16013689	20010565	154168
9.044149881	freqmine	102.0	34.5	5.08	0.203	49986979	308377	7924412	15742568	19730971	150310
9.547160000	freqmine	102.0	34.5	5.08	0.203	50532686	308379	7951575	15755281	19752409	154984
10.049201397	freqmine	102.0	34.5	5.08	0.203	50680287	305834	8118613	16136070	20027673	152432
10.551238315	freqmine	102.0	34.5	5.08	0.243	50071239	311412	7785276	15391514	19517267	153385
11.054682144	freqmine	102.0	35.0	5.08	0.203	50138671	303494	8213950	16407334	20022533	150624
11.556494682	freqmine	102.0	35.0	5.08	0.203	49852310	303612	8125855	16104216	19918955	149719
12.058529674	freqmine	102.0	35.0	5.08	0.243	50493290	304467	8162213	16214149	20037911	152023
12.560646700	freqmine	102.0	35.0	5.08	0.162	50089805	301314	8313067	16609652	20151443	149665
13.062636067	freqmine	102.0	34.5	5.08	0.162	50152592	311253	8396752	16226273	20313990	155137
13.565074405	freqmine	102.0	35.0	5.08	0.162	52222728	312613	8265907	16475663	20681492	163201
