Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
13.55843198	blackscholes	1	102	37	5.08	0.162	52754244	323017	8342057	16525151	20943147	162000
14.06016968	blackscholes	1	102	36.5	5.072	0.162	58867402	360816	7754078	14319167	21120139	181344
14.36047189	blackscholes	1	102	37	5.072	0.162	40148981	229102	5316257	10223044	14264360	136921
0.501161609	blackscholes	1	102	37	5.08	0.243	50724242	271188	11372802	24044528	24940908	127761
1.003423244	blackscholes	1	102	37	5.08	0.203	50936423	337175	7273229	13979077	19053846	160675
1.505182263	blackscholes	1	102	37	5.08	0.203	49983058	329042	7206802	13835940	18860815	156559
2.007340302	blackscholes	1	102	37	5.08	0.203	50504029	337922	7313273	14062339	19077522	159791
2.509173907	blackscholes	1	102	36.5	5.08	0.203	50854684	331019	7591088	14765713	19482201	160063
3.011363198	blackscholes	1	102	37	5.08	0.203	50914872	329671	7672296	14913337	19587975	158878
3.514498711	blackscholes	1	102	36.5	5.072	0.202	49988807	323326	7412398	14361241	19070313	154338
4.016327056	blackscholes	1	102	36.5	5.072	0.202	49768014	318485	7653023	15020190	19341020	154053
4.52262624	blackscholes	1	102	36.5	5.072	0.202	50736792	322045	7725547	15056373	19595870	155606
5.023940251	blackscholes	1	102	37	5.08	0.203	50845809	317446	7738510	15118009	19623253	158092
5.52609871	blackscholes	1	102	36.5	5.08	0.203	50489315	316244	7847025	15421287	19696686	157937
6.027951692	blackscholes	1	102	37	5.08	0.203	51749036	320545	7845038	15335857	19912955	160277
6.530331459	blackscholes	1	102	36.5	5.08	0.203	50247809	315011	7747471	15186956	19490699	155714
7.032160432	blackscholes	1	102	36.5	5.08	0.203	51245489	315307	7826456	15352180	19815826	156877
7.534107637	blackscholes	1	102	36.5	5.08	0.203	49826146	302813	7823408	15380697	19493935	152621
8.042033059	blackscholes	1	102	37	5.08	0.203	50702745	311114	7922130	15606074	19788356	155874
8.54389792	blackscholes	1	102	36.5	5.08	0.203	49551480	303188	7819625	15419515	19444659	150827
9.046139508	blackscholes	1	102	36.5	5.08	0.203	50313464	298941	8079001	15985138	19914834	153029
9.548093121	blackscholes	1	102	36.5	5.08	0.203	51388128	306673	8238764	16254081	20274989	155255
10.05006585	blackscholes	1	102	36.5	5.08	0.203	50623340	299576	8211919	16265378	20090979	153296
10.55155617	blackscholes	1	102	36.5	5.08	0.203	50468916	310046	8058230	15965956	19941435	153108
11.05471096	blackscholes	1	102	37	5.08	0.243	50707011	307412	8063261	15913970	19978194	152853
11.55622712	blackscholes	1	102	36.5	5.072	0.162	51359641	299487	8391813	16667193	20465708	153172
12.0583237	blackscholes	1	102	36.5	5.08	0.162	50831413	297986	8293016	16530084	20213050	152802
12.56009148	blackscholes	1	102	36.5	5.08	0.162	50184217	296258	8237048	16350357	20076728	150925
13.06235166	blackscholes	1	102	36.5	5.08	0.162	51124756	298067	8558047	17016336	20640474	156327
13.56410777	blackscholes	1	102	36.5	5.08	0.162	51261593	317640	8960495	17551265	21329552	149522
14.06640577	blackscholes	1	102	36.5	5.08	0.203	63610467	372750	8472238	16054526	22830125	202309
14.49902334	blackscholes	1	102	36.5	5.08	0.162	54313012	321983	7157740	13404715	19262425	174812
0.500683386	blackscholes	1	204	36.5	5.072	0.324	98936276	588187	17884699	36504291	42078333	273780
1.001908399	blackscholes	1	204	37	5.064	0.324	103702084	670311	15123520	28963124	39152703	318972
1.502664287	blackscholes	1	204	36.5	5.072	0.324	103034698	652918	15598188	30274930	39567415	311812
2.003637159	blackscholes	1	204	36.5	5.072	0.324	103304285	644871	15718071	30539992	39747332	310934
2.504622949	blackscholes	1	204	36.5	5.072	0.284	102350466	629803	15824860	30885598	39735015	306165
3.005933121	blackscholes	1	204	36.5	5.072	0.324	102385343	627402	15764908	30797501	39550110	304218
3.506874952	blackscholes	1	204	37	5.072	0.284	100824558	621619	15677318	30630077	39184980	302511
4.007854909	blackscholes	1	204	36.5	5.072	0.284	103276661	617249	16334803	32181793	40457594	312611
4.50880898	blackscholes	1	204	36.5	5.072	0.284	102208821	609609	16535664	32578340	40457118	301440
5.009742739	blackscholes	1	204	37	5.072	0.284	102637721	611069	16322784	32160322	40245898	306234
5.510616548	blackscholes	1	204	37	5.072	0.284	103656474	599040	17083965	33886254	41332505	305645
6.011588069	blackscholes	1	204	36.5	5.072	0.324	102658118	593308	17055658	33802673	41119664	299211
6.512604956	blackscholes	1	204	37	5.072	0.324	102753632	606401	17443978	34253275	41827765	300326
6.92810727	blackscholes	1	204	37	5.072	0.284	107993795	623994	14352929	26876589	38519368	335974
0.50087278	blackscholes	1	204	36.5	5.072	0.324	101662540	607549	18513206	37714292	43868470	291009
1.001780926	blackscholes	1	204	37	5.072	0.324	101941891	658298	14806047	28466610	38437349	309711
1.502751158	blackscholes	1	204	36.5	5.072	0.284	100953324	637391	15204531	29580123	38691629	300100
2.003739984	blackscholes	1	204	36.5	5.072	0.324	101418574	636869	15383017	29954456	38949002	304083
2.504868084	blackscholes	1	204	36.5	5.072	0.324	102612952	623679	15763538	30846881	39584971	303227
3.00592936	blackscholes	1	204	36.5	5.072	0.324	101343806	622433	15486398	30325854	38999155	302078
3.506920531	blackscholes	1	204	36.5	5.072	0.284	101916128	611968	15606603	30571625	39168695	302386
4.007932119	blackscholes	1	204	37	5.072	0.324	99088124	593898	15691695	30955845	38816730	294193
4.508940686	blackscholes	1	204	36.5	5.072	0.324	102587509	605896	16402804	32342493	40327911	302806
5.009861908	blackscholes	1	204	36.5	5.072	0.284	101796763	592579	16144222	31979541	39787830	298906
5.510853757	blackscholes	1	204	36.5	5.072	0.324	100047603	585228	16299749	32314035	39685630	295035
6.011705082	blackscholes	1	204	36.5	5.064	0.324	96527126	555155	15776342	31306211	38282047	278074
6.512863654	blackscholes	1	204	37	5.064	0.324	100388365	595553	16384661	31794194	39809474	300449
7.013883109	blackscholes	1	204	37	5.064	0.324	121318706	697562	17336114	33402335	45112954	362281
7.038013903	blackscholes	1	204	37	5.064	0.283	5975609	29187	824683	1582310	2107744	20674
0.50063331	blackscholes	1	204	36.5	5.072	0.324	103630018	619993	18924408	38436234	44794318	286342
1.001682673	blackscholes	1	204	36.5	5.072	0.284	102595443	663063	14923555	28652753	38655625	310847
1.502699795	blackscholes	1	204	36.5	5.072	0.324	101484577	643310	15266369	29610852	38888225	306600
2.003633114	blackscholes	1	204	36.5	5.072	0.284	101373873	632073	15409597	30002624	38928595	302121
2.50442367	blackscholes	1	204	36.5	5.072	0.324	101651462	618886	15663557	30630065	39256829	302101
3.005381574	blackscholes	1	204	36.5	5.072	0.324	101370567	621380	15464620	30156444	38950707	302974
3.506357343	blackscholes	1	204	36.5	5.072	0.284	101490870	617788	15738643	30816180	39415905	302612
4.007101075	blackscholes	1	204	36.5	5.072	0.324	102885515	614282	16328033	32111981	40290331	304220
4.508054032	blackscholes	1	204	36.5	5.072	0.284	102159522	601280	16247104	32048117	40011835	299676
5.009039593	blackscholes	1	204	36.5	5.072	0.284	102782653	605147	16491646	32622661	40400681	301239
5.509920986	blackscholes	1	204	36.5	5.072	0.324	102034034	588853	16565087	32769166	40321089	297566
6.010876027	blackscholes	1	204	36.5	5.072	0.324	101382711	583589	16791585	33291309	40484829	294712
