#Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_TAKEN	L1I_CACHE	L2D_CACHE	BUS_ACCESS	BUS_CYCLES
5.010811151	blackscholes	204.0	36.0	5.072	0.284	101216611	9009	40000173	3439273	3190783	101215169
5.511605547	blackscholes	204.0	36.5	5.08	0.324	99770804	8990	39307832	3425276	3183953	99771143
6.012558949	blackscholes	204.0	36.0	5.08	0.284	100902888	8954	40305980	3392149	3207380	100899079
6.513579695	blackscholes	204.0	36.5	5.072	0.324	99873443	8532	39974867	3369288	3111329	99914178
7.014622621	blackscholes	204.0	36.0	5.08	0.284	120613418	11038	44825883	4025696	3587506	120624214
7.067658280	blackscholes	204.0	36.0	5.072	0.284	11881486	1083	4452572	387147	348006	11799671
0.500546444	blackscholes	307.2	36.0	5.072	0.405	151071328	11194	62231289	4735687	4289628	151102341
1.001185905	blackscholes	307.2	36.0	5.072	0.405	150276027	12419	57057928	5129877	4632451	150274279
1.501761350	blackscholes	307.2	36.0	5.072	0.405	149213693	12540	57030859	5021791	4690186	149212060
2.002636538	blackscholes	307.2	36.5	5.072	0.405	150544350	13073	57988120	5080740	4717865	150513001
2.503323643	blackscholes	307.2	36.0	5.072	0.365	149226918	13156	57739704	5001732	4687027	149257251
3.003893498	blackscholes	307.2	36.0	5.072	0.365	149474026	13201	58513880	4951842	4696329	149472693
3.504453974	blackscholes	307.2	36.0	5.072	0.446	150499224	13365	59030411	4962305	4747149	150498308
4.005153771	blackscholes	307.2	36.0	5.072	0.405	152491728	13386	60578285	4956487	4637126	152491446
4.505729393	blackscholes	307.2	36.0	5.072	0.405	152607835	12953	60936770	4848359	4537599	152608087
4.750013397	blackscholes	307.2	36.0	5.072	0.405	93862831	8822	33345282	3164202	2839452	93829807
0.500542943	blackscholes	307.2	36.5	5.072	0.405	150920905	11189	62182145	4744562	4219116	150951951
1.001181822	blackscholes	307.2	36.0	5.072	0.405	151967300	12606	57569440	5193905	4647243	151967329
1.502058150	blackscholes	307.2	36.5	5.072	0.365	150379675	12685	57483170	5089091	4561589	150379302
2.002731917	blackscholes	307.2	36.5	5.072	0.405	151526368	13183	58194582	5109812	4736221	151523323
2.503428958	blackscholes	307.2	36.5	5.072	0.365	151477849	13391	58555782	5056925	4620884	151476008
3.004148497	blackscholes	307.2	36.0	5.072	0.405	152527872	13496	59463662	5072232	4731069	152534024
3.504839852	blackscholes	307.2	36.0	5.072	0.405	151817287	13456	59554463	4993621	4681911	151810171
4.005586517	blackscholes	307.2	36.5	5.072	0.405	151506352	13489	60016545	4928532	4667159	151520212
4.506506775	blackscholes	307.2	36.0	5.072	0.405	154698161	13184	60877680	4949885	4620519	154737241
4.681367168	blackscholes	307.2	36.5	5.072	0.365	67881351	6478	23819489	2308286	2105519	67795103
0.500501164	blackscholes	307.2	36.5	5.072	0.405	148575607	10985	61426538	4676501	4198472	148603942
1.001166081	blackscholes	307.2	36.5	5.072	0.405	149905563	12441	56952569	5119444	4525337	149905963
1.501733174	blackscholes	307.2	36.0	5.072	0.405	149758914	12696	57277620	5077644	4531449	149759552
