Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	INST_RETIRED	BUS_CYCLES	L1I_CACHE	BR_PRED
10.541935067	blackscholes	102.0	35.0	5.08	0.202	50068982	15619283	37178086	50051318	19653579	7898471
11.043702632	blackscholes	102.0	35.0	5.072	0.202	50431158	15993430	38078969	50448643	19909903	8063944
11.545213943	blackscholes	102.0	35.0	5.08	0.162	50533622	16479449	39266662	50534970	20194504	8288404
12.047246827	blackscholes	102.0	34.5	5.08	0.162	49940408	16174451	38590018	49938405	19950827	8168192
12.549027571	blackscholes	102.0	34.5	5.08	0.202	50522492	16739850	39895869	50523645	20261272	8385363
13.051117956	blackscholes	102.0	34.5	5.08	0.202	50369784	16799186	40528986	50370579	20582150	8612497
13.552594372	blackscholes	102.0	34.5	5.08	0.162	52134815	16283700	38940339	52133435	20665742	8240119
14.054854345	blackscholes	102.0	34.5	5.072	0.162	62321795	15341478	37677432	62301786	22406045	8277067
14.379141159	blackscholes	102.0	34.0	5.072	0.162	41060239	10360871	24947418	41059784	14538007	5392405
0.500718860	blackscholes	204.0	34.5	5.072	0.324	102770496	38191390	90831896	102789365	44551183	18829296
1.001771738	blackscholes	204.0	34.5	5.072	0.284	103351054	28842281	69145991	103349580	39072401	15045260
1.502729562	blackscholes	204.0	34.5	5.072	0.284	101884032	29618937	70738183	101882745	39102137	15290328
2.003681709	blackscholes	204.0	35.0	5.072	0.284	101016763	29978264	71663084	101017418	39105839	15428558
2.504669951	blackscholes	204.0	34.5	5.072	0.284	102037383	30708980	73277022	102037855	39627383	15721264
3.005581942	blackscholes	204.0	34.5	5.072	0.284	100039983	30125817	71947546	100026390	38801068	15427691
3.506357316	blackscholes	204.0	35.0	5.072	0.284	102499281	30976224	73967064	102510550	39860820	15856881
4.007347278	blackscholes	204.0	34.5	5.072	0.284	102167604	31716793	75623014	102166682	40063063	16122242
4.508318646	blackscholes	204.0	34.5	5.072	0.284	103430723	32569153	77800515	103430250	40822284	16555074
5.009118813	blackscholes	204.0	34.5	5.072	0.284	102330571	32774738	78142516	102331701	40656017	16593791
5.510240081	blackscholes	204.0	34.5	5.072	0.284	102077484	32645861	77835696	102078230	40457587	16505203
6.016988851	blackscholes	204.0	34.5	5.072	0.284	102103109	33676444	80394121	102100172	41070451	17088382
6.517951419	blackscholes	204.0	34.5	5.072	0.284	104559185	34159051	82188842	104557931	42268340	17339717
6.922031369	blackscholes	204.0	34.5	5.072	0.284	100545356	25005122	61034080	100525055	35940341	13369092
0.500623981	blackscholes	204.0	35.0	5.072	0.324	100179075	37305033	88641376	100198863	43419474	18342422
1.001828339	blackscholes	204.0	34.5	5.072	0.324	101994262	28446944	68229497	101998398	38587235	14860338
1.502623053	blackscholes	204.0	34.5	5.072	0.284	102363293	29787869	71122726	102356038	39201737	15366706
2.003593760	blackscholes	204.0	35.0	5.072	0.324	102589216	30052799	71902605	102590260	39373366	15490226
2.506789250	blackscholes	204.0	34.5	5.072	0.284	102469107	30704150	73323257	102466701	39564169	15720606
3.007745271	blackscholes	204.0	34.5	5.072	0.284	101193355	30262499	72205532	101193859	38917879	15473729
3.508656707	blackscholes	204.0	34.5	5.072	0.284	101613717	30817351	73661921	101613278	39478617	15778531
4.009869973	blackscholes	204.0	34.5	5.072	0.284	101692666	31445855	75015038	101691335	39750790	15989212
4.510868287	blackscholes	204.0	34.5	5.072	0.284	102560180	32288029	77209888	102559357	40383060	16430382
5.011821809	blackscholes	204.0	34.5	5.072	0.284	103120164	32208674	76767074	103119009	40314603	16323640
5.512662204	blackscholes	204.0	34.5	5.072	0.284	102667712	33420121	79820387	102667571	40901926	16882453
6.014202092	blackscholes	204.0	34.5	5.072	0.284	101357397	32785160	78260472	101364080	40318952	16563896
6.515180720	blackscholes	204.0	34.5	5.072	0.324	101471563	34065095	81813543	101464360	41505078	17321458
6.961409819	blackscholes	204.0	34.5	5.072	0.284	111450268	27796276	67818862	111429437	39858745	14831331
0.500715980	blackscholes	204.0	34.5	5.072	0.324	101844265	37882160	90038214	101862411	44048793	18648801
1.002039629	blackscholes	204.0	35.0	5.072	0.284	102076646	28630436	68600664	102077360	38654351	14929526
1.502966186	blackscholes	204.0	35.0	5.072	0.284	102808522	29948850	71541432	102807778	39299437	15447335
2.003929099	blackscholes	204.0	34.5	5.072	0.324	101423070	29638028	70947726	101420571	38825070	15311381
2.504741072	blackscholes	204.0	34.5	5.072	0.284	101312375	30528066	72941376	101315157	39176296	15639411
3.005862582	blackscholes	204.0	34.5	5.072	0.324	102406416	30625496	73094961	102405139	39426016	15686238
3.506823413	blackscholes	204.0	34.5	5.072	0.284	100371526	30144755	72011698	100368331	38648486	15434253
4.007806484	blackscholes	204.0	34.5	5.072	0.284	101401104	31522691	75238653	101400334	39684631	16042725
4.508688407	blackscholes	204.0	34.5	5.072	0.284	101696542	32144271	76738983	101697855	40024134	16320742
5.009656948	blackscholes	204.0	34.5	5.072	0.284	100802219	31689517	75636797	100781190	39584560	16096932
5.510427047	blackscholes	204.0	34.5	5.072	0.284	103311931	33457835	79796753	103331054	40986602	16889401
6.011198397	blackscholes	204.0	34.5	5.072	0.284	101686596	33143413	79195336	101684646	40486258	16773177
6.512964817	blackscholes	204.0	34.5	5.072	0.324	102252078	34403194	82738784	102251536	41766626	17504506
6.965455978	blackscholes	204.0	35.0	5.072	0.284	114495611	28612705	69614245	114476383	40925951	15211728
0.500369948	blackscholes	307.2	35.0	5.072	0.405	151593475	51356697	122471785	151614536	62338123	25736704
1.001148133	blackscholes	307.2	35.0	5.064	0.405	151506283	43277287	103562945	151504398	57241768	22436546
1.501730378	blackscholes	307.2	34.5	5.064	0.405	154356796	45366403	108612765	154356661	58914007	23389916
2.002522940	blackscholes	307.2	35.0	5.064	0.405	154064490	45840847	109541764	154063509	58900711	23506739
2.503072320	blackscholes	307.2	34.5	5.072	0.405	153471636	46157453	110329717	153469752	58853519	23620245
3.003756859	blackscholes	307.2	35.0	5.064	0.405	152909720	47539921	113639024	152909051	59383678	24206046
3.504445513	blackscholes	307.2	34.5	5.064	0.405	153369168	48401371	115579748	153368051	59876897	24542430
4.005149377	blackscholes	307.2	34.5	5.064	0.405	154368602	49881811	119122269	154367364	60879858	25208565
4.506248613	blackscholes	307.2	34.5	5.064	0.405	170431721	50790533	122801471	170466894	65546257	26321017
4.633697239	blackscholes	307.2	34.5	5.064	0.405	45845668	11358803	27771575	45788453	16034211	6055004
0.500368193	blackscholes	307.2	34.5	5.072	0.405	153748536	51968240	123874503	153768383	63177093	26059808
1.001080872	blackscholes	307.2	35.0	5.064	0.405	153346916	43754411	104802358	153346187	58028607	22723821
1.501778603	blackscholes	307.2	35.0	5.064	0.405	153603733	45097754	107945136	153603032	58624209	23267857
2.002313779	blackscholes	307.2	35.0	5.064	0.405	152510319	45681637	109146644	152508432	58514311	23422560
2.502988438	blackscholes	307.2	34.5	5.064	0.364	153998106	46531302	111260497	153997106	59363930	23848857
3.003667471	blackscholes	307.2	35.0	5.064	0.405	153580337	47815833	114203114	153580238	59800415	24333146
3.504371558	blackscholes	307.2	35.0	5.064	0.405	154613131	48597979	115988614	154612425	60357059	24675754
4.005060957	blackscholes	307.2	35.0	5.064	0.405	155539075	50841891	121568945	155536683	61777719	25719668
4.505609729	blackscholes	307.2	35.0	5.064	0.364	164844531	48176645	116773266	164843848	62935811	25140778
4.590690155	blackscholes	307.2	35.0	5.064	0.405	37822549	9483645	22913030	37802352	13238671	4966827
0.500498366	blackscholes	307.2	35.0	5.072	0.405	153984549	52049999	124031481	154004350	63118205	26067975
1.001282519	blackscholes	307.2	35.0	5.064	0.405	153254559	43909857	105111651	153253324	58092228	22783507
1.501847710	blackscholes	307.2	35.0	5.064	0.405	153279935	45059493	107939844	153278958	58488885	23261209
2.002758377	blackscholes	307.2	35.0	5.064	0.405	153755463	46122912	110212110	153765345	59099089	23653862
2.503431487	blackscholes	307.2	35.0	5.064	0.364	153937093	46377994	110819146	153925968	59131577	23739608
3.003991158	blackscholes	307.2	35.0	5.064	0.364	153941983	48390033	115715352	153942618	60206308	24642051
3.504765104	blackscholes	307.2	35.0	5.064	0.405	153378746	47957410	114545099	153355213	59618046	24388325
4.005316182	blackscholes	307.2	34.5	5.064	0.405	153513513	50058570	119536380	153534823	60827433	25285645
4.506012210	blackscholes	307.2	34.5	5.064	0.365	168452125	50001819	121244484	168451728	64805720	26045782
4.626483003	blackscholes	307.2	34.5	5.064	0.405	41599953	10344930	24985948	41576842	14524274	5431141
0.500387127	blackscholes	403.2	35.0	5.064	0.486	199321153	64608641	154499203	199341061	79821678	32711202
1.001005457	blackscholes	403.2	35.0	5.064	0.486	201169230	58016012	139114688	201167764	75884508	30076201
1.501566286	blackscholes	403.2	35.0	5.064	0.445	201623548	59829684	143295268	201623205	76668662	30788580
2.002089772	blackscholes	403.2	35.0	5.064	0.445	202644275	60977867	146009256	202643163	77413902	31273980
2.502540026	blackscholes	403.2	35.5	5.064	0.486	202063344	63004662	150792991	202060441	78256984	32117076
3.003193150	blackscholes	403.2	35.0	5.064	0.445	202140514	64705156	154752377	202141751	79135774	32821789
3.503709136	blackscholes	403.2	35.5	5.064	0.445	217524774	64500732	156211721	217522163	83013679	33515643
3.554062183	blackscholes	403.2	35.0	5.064	0.486	28710639	7284490	17660941	28689543	10094933	3827210
0.500266045	blackscholes	403.2	35.0	5.064	0.486	200900963	64469381	153960108	200899745	79872573	32589699
1.000765271	blackscholes	403.2	35.0	5.064	0.486	202281808	58364272	139771781	202302213	76249240	30198700
1.501330437	blackscholes	403.2	34.5	5.064	0.486	201961403	59797158	143028347	201959037	76627796	30703821
2.001894873	blackscholes	403.2	35.0	5.064	0.486	202417827	60838346	145554959	202417783	77325159	31166837
2.502436861	blackscholes	403.2	35.0	5.064	0.486	201669471	62894607	150365410	201668846	78051504	31978246
