#	 started	 on
#	 started	 on
0.501314375	 50480110	 r011
0.501314375	 276126	 r010
0.501314375	 11310431	 r012
0.501314375	 23978312	 r013
0.501314375	 24858392	 r014
0.501314375	 141446	 r015
1.003659350	 49436196	 r011
1.003659350	 328679	 r010
1.003659350	 7028849	 r012
1.003659350	 13478050	 r013
1.003659350	 18514951	 r014
1.003659350	 154378	 r015
1.505716245	 51374526	 r011
1.505716245	 339437	 r010
1.505716245	 7466392	 r012
1.505716245	 14404644	 r013
1.505716245	 19400223	 r014
1.505716245	 160873	 r015
2.007928353	 50633133	 r011
2.007928353	 333989	 r010
2.007928353	 7354011	 r012
2.007928353	 14111020	 r013
2.007928353	 19164329	 r014
2.007928353	 157183	 r015
2.514271558	 49434443	 r011
2.514271558	 327993	 r010
2.514271558	 7321027	 r012
2.514271558	 14244051	 r013
2.514271558	 18893171	 r014
2.514271558	 152164	 r015
3.016348194	 51299249	 r011
3.016348194	 331622	 r010
3.016348194	 7750086	 r012
3.016348194	 15116852	 r013
3.016348194	 19748803	 r014
3.016348194	 156771	 r015
3.518279254	 50385625	 r011
3.518279254	 326928	 r010
3.518279254	 7512552	 r012
3.518279254	 14583440	 r013
3.518279254	 19270049	 r014
3.518279254	 156179	 r015
4.020229638	 51237517	 r011
4.020229638	 325632	 r010
4.020229638	 7863918	 r012
4.020229638	 15417651	 r013
4.020229638	 19819591	 r014
4.020229638	 153289	 r015
4.521894649	 51348390	 r011
4.521894649	 326504	 r010
4.521894649	 7833587	 r012
4.521894649	 15322845	 r013
4.521894649	 19800850	 r014
4.521894649	 156945	 r015
5.023678935	 50232197	 r011
5.023678935	 317869	 r010
5.023678935	 7665041	 r012
5.023678935	 14954667	 r013
5.023678935	 19429600	 r014
5.023678935	 154117	 r015
5.525352542	 50931714	 r011
5.525352542	 323848	 r010
5.525352542	 7896145	 r012
5.525352542	 15553354	 r013
5.525352542	 19848969	 r014
5.525352542	 159432	 r015
6.027416158	 51118238	 r011
6.027416158	 320167	 r010
6.027416158	 7769915	 r012
6.027416158	 15174924	 r013
6.027416158	 19673766	 r014
6.027416158	 158252	 r015
6.529398940	 51192348	 r011
6.529398940	 318305	 r010
6.529398940	 7880213	 r012
6.529398940	 15486374	 r013
6.529398940	 19803248	 r014
6.529398940	 158274	 r015
7.031321981	 50879664	 r011
7.031321981	 317894	 r010
7.031321981	 7802278	 r012
7.031321981	 15299316	 r013
7.031321981	 19685918	 r014
7.031321981	 156827	 r015
7.533694773	 51308637	 r011
7.533694773	 317307	 r010
7.533694773	 8099956	 r012
7.533694773	 15968761	 r013
7.533694773	 20142634	 r014
7.533694773	 157858	 r015
8.035760526	 51440787	 r011
8.035760526	 314589	 r010
8.035760526	 8050476	 r012
8.035760526	 15894006	 r013
8.035760526	 20080505	 r014
8.035760526	 157000	 r015
8.537583305	 50802975	 r011
8.537583305	 306872	 r010
8.537583305	 8057753	 r012
8.537583305	 15886098	 r013
8.537583305	 19973977	 r014
8.537583305	 155394	 r015
9.040906852	 51180203	 r011
9.040906852	 311060	 r010
9.040906852	 8162922	 r012
9.040906852	 16136979	 r013
9.040906852	 20230273	 r014
9.040906852	 155130	 r015
9.542887344	 50879499	 r011
9.542887344	 308863	 r010
9.542887344	 8137273	 r012
9.542887344	 16033135	 r013
9.542887344	 19996205	 r014
9.542887344	 153438	 r015
10.044550431	 51160827	 r011
10.044550431	 309053	 r010
10.044550431	 8280659	 r012
10.044550431	 16409436	 r013
10.044550431	 20272360	 r014
10.044550431	 153055	 r015
10.546836036	 51257898	 r011
10.546836036	 309825	 r010
10.546836036	 8179659	 r012
10.546836036	 16191853	 r013
10.546836036	 20197265	 r014
10.546836036	 156713	 r015
11.048806840	 50366731	 r011
11.048806840	 305164	 r010
11.048806840	 8209980	 r012
11.048806840	 16213615	 r013
11.048806840	 20040027	 r014
11.048806840	 152191	 r015
11.551113800	 51035826	 r011
11.551113800	 304729	 r010
11.551113800	 8276056	 r012
11.551113800	 16360685	 r013
11.551113800	 20250933	 r014
11.551113800	 155167	 r015
12.053059865	 49946728	 r011
12.053059865	 290883	 r010
12.053059865	 8297841	 r012
12.053059865	 16519057	 r013
12.053059865	 20028719	 r014
12.053059865	 148534	 r015
12.555251249	 50271698	 r011
12.555251249	 300585	 r010
12.555251249	 8268659	 r012
12.555251249	 16363570	 r013
12.555251249	 20110471	 r014
12.555251249	 151034	 r015
13.057262889	 49804375	 r011
13.057262889	 302689	 r010
13.057262889	 8899307	 r012
13.057262889	 17482811	 r013
13.057262889	 20786527	 r014
13.057262889	 149101	 r015
13.559628654	 51175951	 r011
13.559628654	 312202	 r010
13.559628654	 8269174	 r012
13.559628654	 16313261	 r013
13.559628654	 20551400	 r014
13.559628654	 152131	 r015
14.061784465	 68457662	 r011
14.061784465	 398461	 r010
14.061784465	 9041537	 r012
14.061784465	 17144580	 r013
14.061784465	 24543790	 r014
14.061784465	 216309	 r015
14.564540605	 51993525	 r011
14.564540605	 231812	 r010
14.564540605	 6974193	 r012
14.564540605	 11468879	 r013
14.564540605	 16785507	 r014
14.564540605	 115936	 r015
15.066834076	 48862472	 r011
15.066834076	 63760	 r010
15.066834076	 6471097	 r012
15.066834076	 15191114	 r013
15.066834076	 14889521	 r014
15.066834076	 342076	 r015
15.568891136	 52330826	 r011
15.568891136	 120165	 r010
15.568891136	 7306006	 r012
15.568891136	 17585039	 r013
15.568891136	 18356162	 r014
15.568891136	 424679	 r015
16.033745093	 51969081	 r011
16.033745093	 163581	 r010
16.033745093	 7842920	 r012
16.033745093	 16436783	 r013
16.033745093	 21031550	 r014
16.033745093	 205811	 r015
