#Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	EXC_TAKEN	BR_MIS_PRED	BUS_CYCLES
2.503632776	blackscholes	1	307.2	34.5	5.072	0.405	154966208	46596813	59625031	13719	922583	154963772
3.00435938	blackscholes	1	307.2	34.5	5.072	0.486	154511407	48458571	60439821	13521	897398	154512297
3.505129215	blackscholes	1	307.2	34.5	5.072	0.405	154236896	48388265	60166809	13692	887302	154240894
4.006369006	blackscholes	1	307.2	35	5.072	0.405	149527632	48625160	59344050	13167	849552	149692057
4.507215351	blackscholes	1	307.2	34.5	5.072	0.405	165435860	49734032	63871034	14217	948449	165262386
4.63693907	blackscholes	1	307.2	34.5	5.072	0.405	50035693	12295104	17583022	4737	287384	50005614
0.500359586	blackscholes	1	307.2	34.5	5.072	0.405	152510389	51498578	62534354	11240	924469	152540908
1.001184496	blackscholes	1	307.2	34.5	5.072	0.365	154700886	44092948	58365835	12756	963651	154700723
1.501906277	blackscholes	1	307.2	34.5	5.072	0.365	154417119	45274155	58833773	12935	942362	154415949
2.002704517	blackscholes	1	307.2	34.5	5.072	0.405	154374946	45985228	59062883	13442	920543	154341896
2.503439943	blackscholes	1	307.2	34.5	5.072	0.365	154552644	46639596	59424023	13614	914825	154582034
3.00414719	blackscholes	1	307.2	34.5	5.072	0.365	154534687	48489496	60390962	13553	891519	154535241
3.504726517	blackscholes	1	307.2	34.5	5.064	0.405	153177131	47931926	59687798	13502	886002	153174141
4.0054422	blackscholes	1	307.2	34.5	5.072	0.405	154658843	50358411	61268631	13618	863789	154658776
4.506223353	blackscholes	1	307.2	35	5.072	0.365	168305192	49947428	64550965	14577	952295	168367429
4.631984109	blackscholes	1	307.2	35	5.072	0.365	44689526	11233598	15836143	4194	260107	44595397
0.500383721	blackscholes	1	307.2	35	5.072	0.446	153005486	51718451	62837948	11309	936026	153035376
1.001057239	blackscholes	1	307.2	34.5	5.072	0.405	154334082	44012779	58207553	12800	967305	154335366
1.501669348	blackscholes	1	307.2	34.5	5.072	0.365	154199319	45175386	58694231	13003	940607	154197702
2.002401981	blackscholes	1	307.2	34.5	5.072	0.405	154624755	46076244	59091200	13447	929587	154624608
2.503136227	blackscholes	1	307.2	34.5	5.072	0.365	153704799	46221275	59035207	13492	922371	153702463
3.003733282	blackscholes	1	307.2	34.5	5.072	0.365	153833070	48253240	60131664	13565	900161	153832875
3.504485652	blackscholes	1	307.2	34.5	5.072	0.405	154131573	48422047	60069036	13667	892312	154131394
4.005106925	blackscholes	1	307.2	35	5.072	0.405	154098280	50150612	60974093	13520	870246	154096118
4.50636441	blackscholes	1	307.2	35	5.072	0.405	167592178	49179854	64139238	14447	977207	167723063
4.617644467	blackscholes	1	307.2	34.5	5.072	0.365	40363247	10068384	14088520	3799	223272	40199123
0.500383587	blackscholes	1	403.2	34.5	5.064	0.486	201393262	64687053	80285433	15217	1210835	201426007
1.001059106	blackscholes	1	403.2	34.5	5.064	0.486	202432166	58232529	76175754	16669	1223577	202432112
1.501566184	blackscholes	1	403.2	34.5	5.064	0.445	201281212	59467181	76483991	17176	1193020	201278450
2.002198836	blackscholes	1	403.2	34.5	5.064	0.486	199826549	59811346	76075896	17411	1158621	199825157
2.502969252	blackscholes	1	403.2	34.5	5.064	0.486	201764667	62624705	78031148	17528	1146312	201763836
3.003567006	blackscholes	1	403.2	34.5	5.064	0.486	203131861	64556518	79130404	17832	1130075	203130496
3.504202521	blackscholes	1	403.2	35	5.072	0.486	215014971	63621828	81979976	18547	1210037	215069032
3.563040457	blackscholes	1	403.2	34.5	5.064	0.486	31952804	7941521	11115222	2965	171250	31863995
0.500304337	blackscholes	1	403.2	34.5	5.072	0.486	201875550	64806673	80455146	15267	1204170	201905904
1.000853053	blackscholes	1	403.2	35	5.064	0.486	200541036	57835144	75777621	16437	1220989	200542356
1.501388592	blackscholes	1	403.2	34.5	5.064	0.446	201474154	59396892	76525583	17250	1192534	201470124
