Run Duration (ms)	Benchmark	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE	L1I_CACHE	BUS_CYCLES	BUS_ACCESS_PERIPH	BR_RETURN_SPEC
12.552456750	blackscholes	102.0	35.0	5.08	0.162	50385823	16673504	20231666	50385884	1047	879342
13.054412178	blackscholes	102.0	35.0	5.08	0.162	51666997	17240586	21129698	51705386	1173	903468
13.555843481	blackscholes	102.0	35.0	5.08	0.162	51913213	16125734	20520107	51860616	1201	863864
14.057354629	blackscholes	102.0	35.0	5.08	0.162	61377734	15093513	22077672	61392055	1260	962032
14.351119281	blackscholes	102.0	34.5	5.08	0.162	40422518	10258981	14370639	40401621	792	642734
0.501692454	blackscholes	102.0	35.0	5.08	0.203	50585492	23944212	24941415	50604593	1100	989578
1.003689236	blackscholes	102.0	35.0	5.08	0.203	50811297	13829134	19009329	50809817	1165	821528
1.505819459	blackscholes	102.0	35.0	5.08	0.203	49509695	13655693	18708493	49541779	1009	803619
2.007277117	blackscholes	102.0	35.0	5.08	0.203	49777600	13790611	18792303	49745376	1105	810450
2.509027905	blackscholes	102.0	35.0	5.08	0.203	50620719	14635299	19408080	50619359	1038	838363
3.010934894	blackscholes	102.0	34.5	5.08	0.203	50645680	14728814	19437066	50627438	1267	839825
3.512498855	blackscholes	102.0	35.0	5.08	0.203	49999554	14589107	19235014	49999218	1050	833862
4.014350583	blackscholes	102.0	35.0	5.08	0.203	50779171	14922035	19554619	50796820	1195	843899
4.516141528	blackscholes	102.0	35.0	5.08	0.203	50954263	15057602	19642997	50954374	1136	851916
5.018352326	blackscholes	102.0	34.5	5.08	0.203	51494729	15369910	19946926	51534583	1206	863963
5.520114572	blackscholes	102.0	35.0	5.08	0.203	49811238	15222557	19472066	49770303	1079	840909
6.022222711	blackscholes	102.0	35.0	5.08	0.203	50570319	15083844	19478699	50571368	1159	848019
6.523715526	blackscholes	102.0	35.0	5.08	0.203	49166069	14473908	18931942	49170555	1040	820501
7.025716162	blackscholes	102.0	35.0	5.08	0.203	50797754	15555921	19820077	50813916	933	864868
7.527403981	blackscholes	102.0	35.0	5.08	0.203	51573825	15614882	20083434	51557354	1212	870027
8.028793668	blackscholes	102.0	35.0	5.08	0.203	50251769	15484875	19636238	50226735	1084	851637
8.530911963	blackscholes	102.0	35.0	5.08	0.203	50272041	15662107	19753829	50290582	973	857343
9.032691085	blackscholes	102.0	34.5	5.08	0.203	50632503	15862039	19927117	50631675	1109	864631
9.534789328	blackscholes	102.0	34.5	5.08	0.203	50499214	15780369	19855352	50498910	1063	865039
10.036576523	blackscholes	102.0	35.0	5.08	0.203	50723411	16145016	20094748	50724158	1021	871515
10.538344291	blackscholes	102.0	35.0	5.08	0.203	51595257	16186242	20297301	51593046	1234	885227
11.040069037	blackscholes	102.0	35.0	5.08	0.203	50130405	16063103	19867795	50131065	1068	867084
11.545914750	blackscholes	102.0	35.0	5.08	0.162	50497604	16295833	20122423	50492047	1092	875645
12.047369907	blackscholes	102.0	34.5	5.08	0.162	50136257	16356768	20059857	50141748	1004	876075
12.549767166	blackscholes	102.0	35.0	5.08	0.162	50555916	16452018	20230150	50536248	1049	874699
13.051291127	blackscholes	102.0	34.5	5.08	0.162	50602347	17799780	21174781	50620783	1124	907704
13.553122646	blackscholes	102.0	35.0	5.08	0.162	51689918	16152636	20474930	51690170	1079	866538
14.055217816	blackscholes	102.0	34.5	5.08	0.162	62878732	15580780	22493077	62910010	1347	991937
14.451948771	blackscholes	102.0	34.5	5.08	0.162	48647810	12095939	17326940	48596297	1055	765871
0.501136818	blackscholes	204.0	35.0	5.08	0.325	102638666	38257955	44525341	102658355	1185	1833861
1.002418586	blackscholes	204.0	35.0	5.08	0.284	102276840	28643768	38636465	102276514	1099	1670058
1.503401495	blackscholes	204.0	35.0	5.08	0.284	102755507	30019333	39421619	102754317	1068	1707241
2.004380914	blackscholes	204.0	35.0	5.08	0.284	102900719	30473729	39664675	102900614	1159	1720180
2.505730392	blackscholes	204.0	35.0	5.08	0.284	103186870	31049142	39963195	103263915	1168	1729439
3.006533401	blackscholes	204.0	34.5	5.08	0.284	101902254	30703773	39447286	101823469	1142	1714585
3.507307868	blackscholes	204.0	34.5	5.08	0.284	102893092	31151948	39895101	102892295	1176	1735680
4.008304682	blackscholes	204.0	35.0	5.08	0.284	101217454	31602520	39706835	101216687	1192	1727941
4.509142692	blackscholes	204.0	34.5	5.08	0.284	101851543	32079131	40120137	101850616	1278	1743113
5.010098569	blackscholes	204.0	35.0	5.08	0.284	101835391	32379367	40196133	101815233	1588	1750508
5.511089915	blackscholes	204.0	35.0	5.08	0.284	101680025	32779750	40365787	101697826	1236	1761503
6.011893184	blackscholes	204.0	34.5	5.08	0.284	101718748	33085912	40479373	101721841	1028	1768100
6.512876145	blackscholes	204.0	35.0	5.072	0.284	102032292	34329889	41734739	102029467	1267	1777666
6.962025166	blackscholes	204.0	35.0	5.08	0.284	112523372	28006932	40170727	112502538	1238	1764297
0.500519931	blackscholes	204.0	34.5	5.072	0.324	101652339	37697050	43843187	101673378	1304	1804800
1.001554038	blackscholes	204.0	34.5	5.072	0.284	100785370	28132556	38070017	100762903	1230	1644719
1.502537207	blackscholes	204.0	34.5	5.072	0.284	102462250	29799983	39207121	102469644	1243	1702964
2.003491729	blackscholes	204.0	35.0	5.072	0.324	100120880	29351510	38421635	100130650	1234	1666958
2.504440418	blackscholes	204.0	35.0	5.072	0.284	101789013	30606631	39430175	101788357	1124	1711661
3.005453744	blackscholes	204.0	35.0	5.072	0.284	102743208	30899872	39581566	102744264	1282	1723669
3.506218836	blackscholes	204.0	35.0	5.072	0.284	102555339	30892254	39646526	102553370	1237	1725091
4.007171691	blackscholes	204.0	34.5	5.072	0.284	103050258	31953099	40293691	103051232	1130	1752219
4.508118401	blackscholes	204.0	35.5	5.072	0.284	102271012	32145183	40247323	102269156	1300	1751050
5.008892555	blackscholes	204.0	34.5	5.072	0.284	102793317	32598276	40407932	102793109	1120	1768563
5.509870568	blackscholes	204.0	35.0	5.072	0.284	101918615	32553635	40269890	101917642	1171	1757670
6.010845664	blackscholes	204.0	35.0	5.072	0.284	100878295	32832126	40183402	100876697	1166	1754079
6.511838103	blackscholes	204.0	35.0	5.072	0.324	101887902	32225650	40533547	101890390	1248	1743471
7.012818720	blackscholes	204.0	35.0	5.072	0.284	124504296	34102593	46167368	124502014	1388	2014257
7.029290764	blackscholes	204.0	34.5	5.072	0.324	3066074	831398	1144815	3045821	40	47566
0.500670194	blackscholes	204.0	34.5	5.072	0.324	101017504	37658573	43743630	101038091	999	1804352
1.001894930	blackscholes	204.0	34.5	5.072	0.324	102059616	28408094	38343558	102057938	1133	1666222
1.502682991	blackscholes	204.0	34.5	5.072	0.284	103205241	30263261	39740988	103204841	1104	1724006
2.003648139	blackscholes	204.0	35.0	5.072	0.284	102374147	30198447	39312741	102373035	1193	1712549
2.504595213	blackscholes	204.0	35.0	5.072	0.284	101264657	30502589	39237097	101263224	1171	1702710
3.005671561	blackscholes	204.0	35.0	5.072	0.284	102236434	30403096	39248859	102236986	1209	1710622
3.506567489	blackscholes	204.0	35.0	5.072	0.284	102281944	31081502	39602864	102281280	1210	1735977
4.007420030	blackscholes	204.0	34.5	5.072	0.284	101176319	31416126	39586884	101188492	1117	1722510
4.509145661	blackscholes	204.0	35.0	5.072	0.324	103281466	32628737	40724723	103266184	1178	1780221
5.012383927	blackscholes	204.0	35.0	5.072	0.284	103268442	32480732	40500582	103269801	1157	1775821
5.513569756	blackscholes	204.0	35.0	5.072	0.324	99510877	32063407	39381809	99510215	1125	1725758
6.014263804	blackscholes	204.0	35.0	5.072	0.284	102229249	33156229	40609500	102207864	1057	1777120
6.515030667	blackscholes	204.0	35.0	5.072	0.284	99917492	31471021	39568694	99937480	1193	1715598
7.010301014	blackscholes	204.0	35.0	5.072	0.284	124963665	34301425	46364469	124942067	1387	2021738
0.500374303	blackscholes	307.2	35.0	5.072	0.405	152778716	51685078	62723354	152798959	1142	2628607
1.001142988	blackscholes	307.2	34.5	5.072	0.405	152579382	43625616	57782635	152611929	1196	2500486
1.502126053	blackscholes	307.2	34.5	5.072	0.405	154995354	45597073	59190434	155052482	1042	2575314
2.002789788	blackscholes	307.2	34.5	5.072	0.405	155122323	46349283	59627804	155028800	1105	2588176
2.503352324	blackscholes	307.2	35.0	5.072	0.405	154098806	46426641	59362775	154099244	1294	2581446
3.003985173	blackscholes	307.2	34.5	5.072	0.405	153911234	48110651	60201512	153941484	1088	2623173
3.504677763	blackscholes	307.2	34.5	5.072	0.365	153293902	48398883	60050235	153259613	1117	2618697
